id,category_id,gender,min_age,max_age
2990,408,female,35,44
2991,408,female,45,54
2993,408,female,35,44
2996,410,female,25,34
3002,408,female,45,54
3003,408,female,25,34
3012,408,female,35,44
3013,408,female,45,54
3015,408,female,45,54
3019,408,female,25,34
3021,408,female,45,54
3022,408,female,18,24
3027,408,female,35,44
3030,408,female,25,34
3034,408,female,45,54
3039,408,female,18,24
3042,69,female,25,34
3043,408,female,35,44
3044,408,female,35,44
3045,408,female,45,54
3046,69,female,35,44
3047,408,female,25,34
3048,408,female,35,44
3049,408,female,35,44
3050,408,female,35,44
3051,408,female,35,44
3052,408,female,35,44
3053,408,female,55,64
3055,408,female,18,24
3056,69,female,45,54
3058,408,female,45,54
3059,408,female,35,44
3060,408,female,35,44
3062,408,female,35,44
3063,408,female,18,24
3064,408,female,18,24
3065,408,female,35,44
3067,410,female,0,1
3068,408,female,25,34
3074,408,female,45,54
3076,408,female,55,64
3077,408,female,35,44
3079,408,female,55,64
3080,408,female,18,24
3081,408,female,18,24
3083,408,female,18,24
3085,408,female,25,34
3087,408,female,25,34
3089,411,female,65,
3091,408,female,45,54
3094,408,female,25,34
3095,408,female,18,24
3100,408,female,45,54
3104,410,female,35,44
3108,408,female,18,24
3111,408,female,18,24
3112,408,female,25,34
3113,409,female,18,24
3114,408,female,25,34
3115,408,female,45,54
3116,408,female,35,44
3117,408,female,25,34
3118,408,female,45,54
3119,408,female,18,24
3120,408,female,18,24
3122,408,female,25,34
3123,408,female,25,34
3124,408,female,35,44
3127,408,female,35,44
3128,408,female,45,54
3129,83,female,65,
3137,408,female,45,54
3138,408,female,25,34
3139,408,female,65,
3140,408,female,65,
3143,408,female,25,34
3144,408,female,25,34
3145,408,female,25,34
3148,69,female,18,24
3155,408,female,45,54
3157,408,female,45,54
3159,408,female,45,54
3160,408,female,18,24
3162,408,female,25,34
3163,408,female,35,44
3165,408,female,18,24
3167,408,female,11,17
3171,411,female,55,64
3172,411,female,55,64
3173,408,female,25,34
3175,411,female,18,24
3178,408,female,18,24
3179,408,female,35,44
3180,408,female,25,34
3182,408,female,45,54
3185,408,female,25,34
3186,69,female,35,44
3187,408,female,35,44
3189,408,female,18,24
3203,408,female,35,44
3205,408,female,45,54
3197,408,female,25,34
3193,408,female,45,54
3201,408,female,35,44
3208,408,female,25,34
3209,69,female,25,34
3202,408,female,35,44
3210,408,female,35,44
3207,408,female,65,
3214,411,female,55,64
3215,408,female,35,44
3216,408,female,45,54
3220,408,female,25,34
3221,408,female,35,44
3222,408,female,35,44
3224,408,female,25,34
3225,408,female,18,24
3226,408,female,18,24
3228,83,female,35,44
3230,408,female,35,44
3231,408,female,35,44
3235,408,female,55,64
3236,69,female,25,34
3237,408,female,45,54
3240,408,female,45,54
3242,408,female,35,44
3246,408,female,25,34
3249,408,female,25,34
3253,408,female,35,44
3255,408,female,25,34
3256,408,female,25,34
3257,63,female,45,54
3259,408,female,45,54
3261,410,female,11,17
3262,408,female,25,34
3263,411,female,18,24
3265,83,female,25,34
3267,408,female,25,34
3270,408,female,35,44
3272,408,female,25,34
3273,408,female,35,44
3274,408,female,55,64
3275,408,female,55,64
3277,69,female,25,34
3278,408,female,25,34
3283,408,female,25,34
3289,408,female,18,24
3290,408,female,35,44
3291,408,female,35,44
3293,408,female,25,34
3295,408,female,25,34
3296,408,female,25,34
3299,411,female,55,64
3300,69,female,25,34
3301,69,female,25,34
3302,408,female,25,34
3303,408,female,25,34
3307,69,female,25,34
3312,408,female,25,34
3314,408,female,18,24
3319,408,female,35,44
3324,408,female,25,34
3327,408,female,35,44
3304,69,female,18,24
3305,408,female,35,44
3306,408,female,25,34
3310,408,female,18,24
3317,408,female,25,34
3320,408,female,25,34
3326,408,female,25,34
3329,408,female,25,34
3328,408,female,18,24
3331,408,female,35,44
3334,408,female,45,54
3335,408,female,25,34
3336,408,female,45,54
3338,408,female,25,34
3342,408,female,35,44
3343,408,female,25,34
3344,69,female,25,34
3346,408,female,25,34
3347,408,female,35,44
3348,408,female,25,34
3350,408,female,45,54
3353,408,female,18,24
3354,408,female,45,54
3355,408,female,25,34
3356,408,female,25,34
3358,408,female,35,44
3360,408,female,18,24
3369,408,female,18,24
3372,408,female,25,34
3373,83,female,18,24
3374,83,female,18,24
3376,69,female,35,44
3377,408,female,35,44
3380,69,female,25,34
3381,408,female,55,64
3383,408,female,18,24
3384,408,female,18,24
3386,69,female,25,34
3387,411,female,55,64
3390,408,female,18,24
3392,69,female,45,54
3393,69,female,45,54
3394,408,female,18,24
3397,410,female,18,24
3398,69,female,25,34
3399,408,female,35,44
